Version,Ambassador commit,Envoy image
0.60.0,0.60.0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.1-rc0,0.60.1-rc0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.1,0.60.1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.2-rc0,0.60.2-rc0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.2-rc1,0.60.2-rc1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.02,0.60.02,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.2,0.60.2,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.3-rc0,0.60.3-rc0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.3,0.60.3,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.61.0-rc1,0.61.0-rc1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.61.0-rc2,0.61.0-rc2,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.61.0-rc3,0.61.0-rc3,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.61.0,0.61.0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
